Accession No.,Book Title,Author,Price (INR),Price ($),Price (Pound),Publisher,Issue / Lost / Available,Book No. / Barcode,Book Shelf No.,No. of Copies,S. No.
2137,Fundamentals Of Database Systems (REPLACE),Elmasri Navathe,350,,,BPB,,932997,DCSE/E/98/5,1,1
2140,Fundamentals Of Database Systems (REPLACE),Elmasri Navathe,449.29,,,BPB,,932998,DCSE/E/98/5,1,2
3198,An Integrated Approach to Software Engineering,Jalote,350,,,Narosa,,1113387,DCSE/E/98/5,1,3
1721,Programming Languages(REPLACE),Pratt & Zelkourity,195,,,PHI,ISSUED (PKS),891163,DCSE/E/98/5,1,4
1839,Programming with C++ (REPLACE),Hubbard.J,,,,MC GRAW,,897893,DCSE/E/98/5,1,5
1722,Programming Languages (replace),Pratt & Zelkourity,195,,,PHI,,891162,DCSE/E/98/5,1,6
2360,Compilers,Aho Sethi Ullman,395,,,Pearson,,978707,DCSE/E/98/5,1,7
3105,UNIX Network Programming,Stevens,395,,,PHI,,1113551,DCSE/E/98/5,1,8
3215,Modern Operating System,Tanenbaum,450,,,PHI,,1113505,DCSE/E/98/5,1,9
3104,Intro. To Automata Theory Languages & Computation,"Hopcraft,Motwani,Ullman",465,,,Pearson,,1113405,DCSE/E/98/5,1,10
3203,Advanced Computer Architectures- A design space approach,"Sima, Fountain",655,,,Pearson,,1113382,DCSE/E/98/5,1,11
3166,Computer Graphics Principles & Practices in C,"Foley,Dam,Feiner,John",725,,,Pearson,,1113417,DCSE/E/98/5,1,12
3201,Advanced Computer Architectures- A design space approach,"Sima, Fountain",655,,,Pearson,,1113385,DCSE/E/98/5,1,13
3146,Operating Systems Internals & Design Principles,Stallings,525,,,Pearson,,1113521,DCSE/E/98/5,1,14
3102,Intro. To Automata Theory Languages & Computation,"Hopcraft,Motwani,Ullman",465,,,Pearson,,1113407,DCSE/E/98/5,1,15
3124,Fundamentals of Computer Algorithm,"Horowitz,sahni,Rajshekhran",375,,,University Press,,1113480,DCSE/E/98/5,1,16
3213,Artificial Intelligence- A Modern Approach,"Russell,Norvig",535,,,Pearson,,1113402,DCSE/E/98/5,3,17
3109,Artificial Intelligence ,"Rich,Knight,Nair",435,,,Tata MCG,,1113397,DCSE/E/98/5,2,1
3130,Fundamentals of Database Systems,Elmasri Navathe,525,,,Pearson,,1113483,DCSE/E/98/5,2,2
3132,Fundamentals of Database Systems,Elmasri Navathe,525,,,Pearson,,1113485,DCSE/E/98/5,2,3
3322,"Advanced Computer Architectures- Parallism, Scalability, Programmability","Hwang,J",650,,,McGRAW Hill,,1105728,DCSE/E/98/5,2,4
2587,Computer Organisation & Architecture,Stallings,350,,,PHI,,1064382,DCSE/E/98/5,2,5
2641,Distributed Systems 4th edition,Coulouris et al.,545,,,Pearson Education,,1064439,DCSE/E/98/5,2,6
3450,Computer Organization,Hamacher Zaky,,,,McGRAW Hill,,1120544,DCSE/E/98/5,2,7
1428,Programming in C++,Dewhurst Stark,150,,,Galgotia,,812224,DCSE/E/98/5,2,8
2421,Advanced Computer Architecture (REPLACE),"Dezso Sima. Peter. Terence,Fountain",475,,,Pearson Education,,998146,DCSE/E/98/5,2,9
2488,The Complete Reference JAVA J2SE 5th Edition (REPLACE),Schildt,425,,,Mc Graw Hill,,987989,DCSE/E/98/5,2,10
2412,Parallel Computing (REPLACE),Law,,,,Pearson Education,,972369,DCSE/E/98/5,2,11
2346,Data Structure & Algorithms,Aho,260,,,P/E,,937940,DCSE/E/98/5,2,12
2313,C by Example (REPLACE),Ray Duncan,,,,cup,,932799,DCSE/E/98/5,2,13
1929,Mathmatical Elements for Computer Graphics (REPLACE),Rogers,,11.95,,Mc Graw,,910068,DCSE/E/98/5,2,15
1179,Proce. Elements for Comp. Graphics,Rogers,,6.5,,Mc Graw,,1179,DCSE/E/98/5,2,16
1156,Introduction to Operation Research,Gillett,81,,,TMH,,806141,DCSE/E/98/5,2,17
2018,Introduction to Algorithms (REPLACE),Corman,275,,,PHI,,917106,DCSE/E/98/5,2,18
3148,Operating Systems Internals & Design Principles,Stallings,525,,,Pearson,,1113523,DCSE/E/98/5,2,18
3145,Operating Systems Internals & Design Principles,Stallings,525,,,Pearson,,1113542,DCSE/E/98/5,2,19
3158,Data & Computer Communication,Stallings,525,,,Pearson,,1113448,DCSE/E/98/5,2,19
3449,Computer Organization,Hamacher Zaky,,,,McGRAW Hill,,1120543,DCSE/E/98/5,2,20
1551,Understanding Pointers in C (REPLACE),Kanetkar,,,,,,855858,DCSE/E/98/5,2,21
3424,Machine Learning,Mitchell,,,,McGRAW Hill,,1120604,DCSE/E/98/5,2,23
2566,System Analysis & Design,Elias M. Awad,385,,,Galgotia,,1064359,DCSE/E/98/5,2,24
3377,"Thoery of computer science, automata , language & computation",Mishra & Chandrasekaran,,,,Eastern Economy Edition,,1120623,DCSE/E/98/5,2,25
546,Discrete Maths. : A Unified Approach,Witala,119.25,,,Mc Graw,,766500,DCSE/E/98/5,3,1
2825,An Integrated Approach to Software Engineering,Jalote,315,,,Narosa,,1056798,DCSE/E/98/5,3,2
3411,Data Mining concepts & techniques,"Han, Kamber & Jian Pei",,,,Elsevier,,1120578,DCSE/E/98/5,3,2
3001,Data Communications & Networking,Forouzan,435,,,Tata MCG,,1090277,DCSE/E/98/5,3,4
2819,Database System Concepts,Silberschatz,483,,,Mc Graw Hill,,1056790,DCSE/E/98/5,3,5
3177,Mathmatical Elements for Computer Graphics ,Rogers Adams,440,,,Tata MCG,,1113501,DCSE/E/98/5,3,6
2130,Schaum's Outlines Dis. Mathmatics,Lipschatz S.,225,,,Tata Mc Graw Hill,,932990,DCSE/E/98/5,3,7
2838,Computer Networks,Tanenbaum,375,,,Pearson Education,,1056812,DCSE/E/98/5,3,8
2837,Computer Networks,Tanenbaum,375,,,Pearson Education,,1056813,DCSE/E/98/5,3,9
3398,Wireless communications & Networks,William Stallings,,,,Pearson,,1120628,DCSE/E/98/5,3,10
2102,Operating Systems,Milenkovic,195,,,TMH,,936240,DCSE/E/98/5,3,11
2019,Algorithm,Cormen T.H.,275,,,PHI,,917107,DCSE/E/98/5,3,12
3302,Modern Information Retrieval,"Yates, R.B",449.1,,,Pearson,,1105805,DCSE/E/98/5,3,13
3413,Data Mining concepts & techniques,"Han, Kamber & Jian Pei",,,,Elsevier,,1120580,DCSE/E/98/5,3,14
3092,Data Communications & Networking,Forouzan,470,,,Tata MCG,,1113453,DCSE/E/98/5,3,15
3190,Operating Systems Concepts,"Silberschatz, Galvin",499,,,Wiley,,1113911,DCSE/E/98/5,3,16
2017,Algorithm,Cormen T.H.,,,,PHI,,907110,DCSE/E/98/5,3,17
3135,Fundamentals of Database Systems,Elmasri Navathe,525,,,Pearson,,1113487,DCSE/E/98/5,3,19
3442,Fubdamentals of Digital Image Processing,A. Jain,,,,Pearson,,1120558,DCSE/E/98/5,3,20
2723,Introduction to Digital Image Processing with Matlab,Acandrew,325,,,Cengage Learning,,1056900,DCSE/E/98/5,3,21
2818,Database System Concepts,Silberschatz,483,,,Mc Graw Hill,,1056791,DCSE/E/98/5,3,22
2565,System Analysis & Design,Elias M. Awad,385,,,Galgotia,,1064360,DCSE/E/98/5,3,23
2580,Digital Logic & Computer Design,M. Morris Mano,265,,,Pearson Education,,1064377,DCSE/E/98/5,3,24
3415,Data Mining concepts & techniques,"Han, Kamber & Jian Pei",,,,Elsevier,,1120577,DCSE/E/98/5,4,1
3327,Computer Network,Tanenbaum,485,,,Pearson,,1105735,DCSE/E/98/5,4,2
3133,Fundamentals of Database Systems,Elmasri Navathe,525,,,Pearson,,1113484,DCSE/E/98/5,4,3
3242,Cryptography & Network Security: Principles & Practices,"Stallings,W",425,,,Pearson,,1097715,DCSE/E/98/5,4,4
2584,Digital Logic & Computer Design,M. Morris Mano,265,,,Pearson Education,,1064380,DCSE/E/98/5,4,5
3091,Data Communications & Networking,Forouzan,470,,,Tata MCG,,1113454,DCSE/E/98/5,4,6
3081,Computer Oriented Numerical Methods,Rajaraman,95,,,PHI,,1113425,DCSE/E/98/5,4,7
2802,Introduction to Multiagent Systems,Michael W.,2898,,,Star Edu.,,1064805,DCSE/E/98/5,4,8
3396,Wireless communications & Networks,William Stallings,,,,Pearson,,1120625,DCSE/E/98/5,4,9
3433,Wireless communications Principles & practice,Rappaport,,,,Pearson,,1120558,DCSE/E/98/5,4,10
2849,Compilers,"Aho, Ullman",565,,,Pearson Education,,2849,DCSE/E/98/5,4,11
2847,Compilers,"Aho, Ullman",565,,,Pearson Education,,1056821,DCSE/E/98/5,4,12
2784,Theory of Computation,Sipser,255,,,Cengage Learning,,1056961,DCSE/E/98/5,4,13
3049,Computational Intelligence : A Logical Approach,Poole.D.,385,,,Oxford University Press,,1094731,DCSE/E/98/5,4,14
2964,Wireless Networking,Nicopolutidis,279,,,Wiley India,,1084012,DCSE/E/98/5,4,15
3366,Data Mining,"witten, Frank, Hall",,,,Elsevier,,1120584,DCSE/E/98/5,4,16
3425,Machine Learning,Mitchell,,,,McGRAW Hill,,1120607,DCSE/E/98/5,4,17
2759,Programming in MATLAB,Hernjter M.,395,,,Cengage Learning,,1056937,DCSE/E/98/5,4,18
3116,Artificial Intelligence ,"Rich,Knight,Nair",435,,,Tata MCG,,113398,DCSE/E/98/5,4,19
2016,Algorithm,Cormen T.H.,275,,,PHI,,2016,DCSE/E/98/5,4,20
2804,Computational Intelligence : An Introduction 2 ed.,Piea,5313,,,Star Edu.,,1064800,DCSE/E/98/5,4,20
113,"IBM PC-DOC Handbook,Ed.2","King,Richard Alan",60,,,BPB Pub.,,737193,CS/08-09/286/7,4,20
114,Assem.Lang.Tech. for the 8086-8088,"Erskine, Robert",90,,,Pitman,,737497,CS/08-09/286/7,4,15
402,Theory & Prob. Of Program with Basic,Gotthried,,3.95,,TMH,,763544,CS/08-09/286/7,5,2
403,Theory & Prob. Of Program with Basic,Gotthried,,3.95,,TMH,,763548,CS/08-09/286/7,4,19
404,Theory & Prob. Of Program with Basic,Gotthried,,3.95,,TMH,,763546,CS/08-09/286/7,4,18
405,Theory & Prob. Of Program with Basic,Gotthried,,3.95,,TMH,,763547,CS/08-09/286/7,5,3
1000,The Com. Astr. (Pocket Gui. & Caset),Hamlyn,635.43,,,,,780262,CS/08-09/286/7,5,8
1150,Prog. Lang. Des. & Implementation,Pratt,95,,,P.Hall,,806135,CS/08-09/286/7,4,9
1187,Intro. to Operation Research,Gillett,81,,,TMH,,807421,CS/08-09/286/7,4,10
1197,A II nd Cou. In Comp. Sc. With Pascal,McCraken,185.9,,,J.Wiley,,815394,CS/08-09/286/7,4,21
1254,Data Processing,Kroenke,100,,,Galgotia,,812478,CS/08-09/286/7,4,6
1255,Prog. With Adva. Structured COBOL,New Commer,189.8,,,Mc Graw,,812482,CS/08-09/286/7,4,7
1262,Artificial Intelligence ,Rich & Knight,150,,,TMH,,812483,CS/08-09/286/7,4,22
1263,Fundamentals of Computers,Raja Raman,55,,,PHI,,812490,CS/08-09/286/7,4,23
1266,Fundamentals of Computers,Raja Raman,55,,,PHI,,812494,CS/08-09/286/7,4,8
1270,Funda. Of Comp.Algorithms (REPLACE),Horowitz.E,,,,,,812498,CS/08-09/286/7,4,11
1271,Microcomputert Systems,Liv Gibson,100,,,Galgotia,,812499,CS/08-09/286/7,4,12
1272,Intro. to Auto. Theo. Lang. & Comp.,Hopcraft & Ullman,95,,,PHI,,1272,CS/08-09/286/7,4,4
1273,Computer Assisted Decision Models,Kapoor R.,100,,,Galgotia,,812648,CS/08-09/286/7,4,3
1276,Illustrated Turbo C++,Wang & Bibb,150,,,TMH,,812651,CS/08-09/286/7,4,24
1277,Programming in C++,Chirlian,70,,,CBS,,812654,CS/08-09/286/7,4,2
1278,Programming in C++,Chirlian,70,,,,,812653,CS/08-09/286/7,4,1
1284,Exploring Artificial Intelligence ,Shrobe,668.12,,,Morgan Kaufiman,,812224,CS/08-09/286/7,5,10
2012,Applied Discrete Structure,Joshi K.D.,210,,,New Age International,,910657,CS/08-09/286/7,4,13
2582,Digital Logic & Computer Design,M. Morris Mano,265,,,Pearson Education,,1064376,CS/08-09/286/7,5,7
2785,Theory of Computation,Sipser,255,,,Cengage Learning,,1056962,CS/08-09/286/7,4,17
2850,Compilers,"Aho, Ullman",565,,,Pearson Education,,1056823,CS/08-09/286/7,5,1
3046,Smart phone & Next Generation Mobile Computing,Zheng.P.,425,,,Elsevier,,1113390,CS/08-09/286/7,4,14
3182,Operating Systems Concepts,"Silberschatz, Galvin",499,,,Wiley,,113518,CS/08-09/286/7,5,6
3184,Operating Systems Concepts,"Silberschatz, Galvin",499,,,Wiley,,1113519,CS/08-09/286/7,5,5
3363,Data Mining,"witten, Frank, Hall",,,,Elsevier,,1120583,CS/08-09/286/7,5,4
3364,Data Mining,"witten, Frank, Hall",,,,Elsevier,,1120582,CS/08-09/286/7,4,16
3385,Intro. To language & theory of computation,martin,,,,McGRAW Hill,,1120630,CS/08-09/286/7,5,9
4,COBOL for Beginners,"Worth,Thomas",55,,,PHI,,812808,CS/E/99-1,1,4
1115,An Introduction to Database System,Desai,110,,,Galgotia,,812658,CS/E/99-1,1,1
1284,Exploring Artificial Intelligence ,Shrobe,668.12,,,Morgan Kaufiman,,812722,CS/E/99-1,1,2
1286,dBase III Plus Made Simple,Taxali,66,,,TMH,,812804,CS/E/99-1,1,7
1287,dBase III Plus Made Simple,Taxali,66,,,TMH,,812809,CS/E/99-1,1,8
1291,Introduction to Computer Science,Tremblay Bunt,,14.95,,TMH,,812801,CS/E/99-1,1,9
1292,Introduction to Computer Science,Tremblay Bunt,,14.95,,TMH,,812802,CS/E/99-1,1,10
1293,Introduction to Computer Science,Tremblay Bunt,,14.95,,TMH,,812803,CS/E/99-1,1,11
1294,Ux Sys. V/386 R. 4 Net. User & Ad. Gu.,AT & T,175,,,PHI,,812818,CS/E/99-1,1,12
1295,Ux Sys. V/386 R. 4 Pd. O/V & Mas Ind,AT & T,95,,,PHI,,812824,CS/E/99-1,1,13
1296,Ux Sys. V/386 R. 4 Sys. Adm. Ref. Man.,AT & T,225,,,PHI,,812820,CS/E/99-1,1,14
1297,Ux Sys. V/386 R. 4 Mouse Dr. Adm.Gu.,AT & T,125,,,PHI,,812822,CS/E/99-1,1,15
1298,Ux Sys. V/386 R. 4 User's Ref. Man..,AT & T,22,,,PHI,,812826,CS/E/99-1,1,16
1299,Ux Sys. V/386 R. 4 Sys. Adm. Guide.,AT & T,150,,,PHI,,812819,CS/E/99-1,1,17
1300,Ux Sys. V/386 R. 4 Net. User's Guide,AT & T,195,,,PHI,,812812,CS/E/99-1,1,18
1301,Ux Sys. V/386 R. 4 Prog. Ref. Manual,AT & T,175,,,PHI,,812821,CS/E/99-1,2,1
1302,Ux Sys. V/386 Prog. Gu: SCSI Dr. Int.,AT & T,59,,,PHI,,812829,CS/E/99-1,2,2
1303,Ux Sys. V R. 4 Pg Gu: ANSI Pg. Su. Tls.,AT & T,195,,,PHI,,812811,CS/E/99-1,2,3
1304,US V R. 4 P Gu: Ch U Int. FMLI & ETI,AT & T,195,,,PHI,,812814,CS/E/99-1,2,4
1305,Ux Sys. V R. 4 Prog. Gu Net. Interfaces,AT & T,195,,,PHI,,812813,CS/E/99-1,2,5
1307,Ux Sys. V R. 4 Prog. Gu POSIX Con.,AT & T,29,,,PHI,,812827,CS/E/99-1,2,6
1308,U S V R4 PG Sys Ser & App Pac Tools,AT & T,125,,,PHI,,812815,CS/E/99-1,2,7
1309,Ux Sys. V/386 R. 4 Dev Dr Int Ref Man,AT & T,95,,,PHI,,812825,CS/E/99-1,2,8
1310,Ux Sys. V R. 4 Prog. Guide Streaming,AT & T,135,,,PHI,,812810,CS/E/99-1,2,9
1311,Ux Sys V/386 R 4 Inte. Int. Develop.,AT & T,125,,,PHI,,812823,CS/E/99-1,2,10
1312,Ux Sys. V ANSI C Transition Guide,AT & T,29,,,PHI,,812817,CS/E/99-1,2,11
1313,Ux Sys. V R 4 BSD/Xenix Comp. Gu.,AT & T,95,,,PHI,,812816,CS/E/99-1,2,12
1314,Ux Sys. V/386 Rel 4 Migration Guide,AT & T,49,,,PHI,,812828,CS/E/99-1,2,13
1315,Data and Computer Communication,Stallings,,12.95,,PHI,,812830,CS/E/99-1,2,14
1316,Operation Research,Taha,460.95,,,McMillan,,812981,CS/E/99-1,2,15
1317,Linear Programming with Applications,Strayer J.K,88,,,Narosa ,,817044,CS/E/99-1,2,16
1318,Linear Programming with Applications,Strayer J.K,88,,,Narosa ,,817043,CS/E/99-1,2,17
1319,Algebra for Computer Science,"Garding L., Tabour T.",75,,,Narosa ,,817046,CS/E/99-1,2,18
1320,Algebra for Computer Science,"Garding L., Tabour T.",75,,,Narosa ,,817045,CS/E/99-1,2,19
1322,Comp. Aided Des. Soft. & Ana. Tools,Jalote P,275,,,Springer Verley,,817048,CS/E/99-1,2,20
1323,IBM PC and Clones,Govindrajalu,360,,,TMH,,817049,CS/E/99-1,2,21
1325,DOS 5 A to Z,Masters G.,295,,,BPB,,817052,CS/E/99-1,2,23
1326,DOS 5 A to Z,Masters G.,295,,,BPB,,817051,CS/E/99-1,2,24
1329,The C Ody. Win: Brave New World,Mukhi,225,,,BPB,,817056,CS/E/99-1,2,25
1330,The C Ody. OS/2 & PM into Inf World,Mukhi,225,,,BPB,,817058,CS/E/99-1,2,26
1332,The C Ody. Network & RDBMS,Mukhi,225,,,BPB,,817059,CS/E/99-1,3,1
1333,The C Ody. Unchatered Waters,Mukhi,225,,,BPB,,817054,CS/E/99-1,3,2
1334,Learn Lotus 1-2-3 in a Day,Stultz,36,,,BPB,,817060,CS/E/99-1,3,3
1335,Mailing Lists using dBase,Stultz,45,,,BPB,,807060,CS/E/99-1,3,4
1336,Presentation with Harvard Graphics,Hoath,45,,,BPB,,817062,CS/E/99-1,3,5
1337,Obj. Oriented Prog. Using Turbo C++,Smith,45,,,BPB,,817063,CS/E/99-1,3,6
1338,Write your own Prog. Using C++,Smith,45,,,BPB,,817064,CS/E/99-1,3,7
1339,Illustrated Turbo C++,Wang & Bibb,120,,,BPB,,817065,CS/E/99-1,3,8
1340,Programmer's Guide to the EGA / VGA,Sutty Blair,210,,,BPB,,817066,CS/E/99-1,3,9
1341,C with Assembly Language,Holzner,120,,,PHI,,817067,CS/E/99-1,3,10
1342,Mastering Windows 3.0,Cowart R.,120,,,BPB,,817069,CS/E/99-1,3,11
1344,The MSDOS Programmer's Handbook,Gunter,100,,,Galgotia,,817071,CS/E/99-1,3,12
1345,Windows 3 Secrets,Livingstone,396,,,Galgotia,,817072,CS/E/99-1,3,13
1346,"Intro, to Art. Intelligence & Expert Sys.",Patterson,89,,,Galgotia,,817074,CS/E/99-1,3,14
1347,Encyclopedia of Autocad Release 11,Thomas,375,,,PHI,,817068,CS/E/99-1,3,15
1348,Mastering C++,Woollard,360,,,BPB,,817073,CS/E/99-1,3,16
1349,C Programming,Holzner,110,,,BPB,,817075,CS/E/99-1,3,17
1350,Data Networks,Bertsekas Gallager,75,,,Galgotia,,817042,CS/E/99-1,3,18
1351,Data Networks,Bertsekas Gallager,75,,,PHI,,817041,CS/E/99-1,2,22
1352,A Practical Guide to Ventura,Mehta,54,,,SKW,,823791,CS/E/99-1,3,22
1353,Guide to SQL,Viescas,36,,,Microsoft,,823792,CS/E/99-1,3,23
1354,MSDOS Batch Files,,36,,,Microsoft,,823793,CS/E/99-1,3,19
1355,Write your own Prog. Using C++,Smith,45,,,BPB,,823794,CS/E/99-1,3,20
1356,Understanding the Norton Utilities,Dysin,480,,,TP,,823795,CS/E/99-1,3,21
1357,The Waites Gr. Obj. Ori. Prog. In C++,Cafore,250,,,Galgotia,,823796,CS/E/99-1,3,24
1359,The Waites Gr. Obj. Ori. Prog. In C++,Cafore,250,,,Galgotia,,823798,CS/E/99-1,3,25
1361,Infoword PC Secrets 1992,Halliday C.M,395,,,Galgotia,,873293,CS/E/99-1,3,28
1362,Vijay Mukhi's BC++ 3.0 for Windows,Fernades L.,180,,,BPB,,824075,CS/E/99-1,3,26
1363,Learn C in 3 Days (REPLACE),Aborlous.S,,,,,,824078,CS/E/99-1,3,29
1364,Data Networks,Bertsekas Gallager,225,,,BPB,,824077,CS/E/99-1,3,27
1365,Vijay Mukhi's Novell Net. 386 R 3.11,G. Hatikar,180,,,BPB,,824076,CS/E/99-1,4,1
1366,Workout C: Learn C through Exercises,Himmel D.,320,,,Galgotia,,824073,CS/E/99-1,4,2
1367,MSDOS Programmer's Handbook,Born,230,,,Galgotia,,824072,CS/E/99-1,4,3
1368,Obj. Oriented Prog. Using Turbo C++,Norman Smith,45,,,BPB,,824124,CS/E/99-1,4,4
1369,Super Charging Windows ,Robbins,490,,,Sybex,,824123,CS/E/99-1,4,5
1370,Waite Gr. Obj. Ori. Prog. In Turbo C++,Lafore R.,,,,,LOST,824122,CS/E/99-1,4,6
1371,The PC Data Handbook,Shell S.,75,,,BPB,,830166,CS/E/99-1,4,7
1372,Working with Unix,Mukhi's V.,150,,,BPB,,830167,CS/E/99-1,4,8
1373,Mathmatical Elem. Of Comp Graphics,Rogers Adams,,9.5,,Mc Graw,,830168,CS/E/99-1,4,9
1374,Mathmatical Elem. Of Comp Graphics,Rogers Adams,,9.5,,Mc Graw,,830169,CS/E/99-1,4,10
1375,Mastering DOS 5,Robbins J.,180,,,BPB,,830610,CS/E/99-1,4,11
1376,Inside Norton Utilities 6.0,Krumm R.,125,,,PHI,,830611,CS/E/99-1,4,12
1377,Compiler Design in C,Holub A.I.,175,,,PHI,,830852,CS/E/99-1,4,13
1378,Compiler Design in C,Holub A.I.,175,,,PHI,,830851,CS/E/99-1,4,14
1379,Software Engineering,Shooman M.L.,323,,,Mc Graw,,826619,CS/E/99-1,4,15
1380,Software Engineering,Pressman,290.87,,,Mc Graw,,826620,CS/E/99-1,4,16
1381,Graphics Prog. In C,Stevens R.J,240,,,BPB,,833311,CS/E/99-1,4,17
1382,Turbo C++ Tech. and Application,Ladd S.R,150,,,BPB,,833312,CS/E/99-1,4,18
1383,Clean Coding Borland C++,Traister,99,,,BPB,,833313,CS/E/99-1,4,19
1384,Unix Conceptsn & Applications (REPLACE),Das S.,,,,,,1384,CS/E/99-2,4,20
1385,Unix System V.4,Das S.,195,,,BPB,,833315,CS/E/99-3,4,21
1386,BC++ under Win Test by Parikh,Mukhi S.V,60,,,BPB,,833316,CS/E/99-4,4,22
1387,Theo. Of Com. Sc. Auto. Lang. & Compu.,Mishra & Chandra,95,,,P.Hall,,833318,CS/E/99-5,4,23
1388,dBase III Plus IV Test,Mukhi S.V,39,,,BPB,,833317,CS/E/99-6,4,24
1389,Graphic User Interface Prog. with C,Landymon R.F,150,,,BPB,,833319,CS/E/99-7,4,25
1390,The A to Z of PC Virus Protection,Tiwan A.B,40,,,Khanna Pub.,,833320,CS/E/99-8,4,26
1392,Introduction to Pascal,Mathur's,250,,,TMH,,838499,CS/E/99-9,5,1
1393,Introduction to Pascal,Mathur's,250,,,TMH,,838501,CS/E/99-10,5,3
1394,OOP in Turbo C++ (REPLACE),Lofore,,,,,,1394,CS/E/99-11,5,2
1395,Comp. Architecture & Organisation,Hwang & Briggs,,10.5,,Mc Graw,,838503,CS/E/99-12,5,4
1396,Comp. Architecture & Organisation,Hwang & Briggs,,10.5,,Mc Graw,,838504,CS/E/99-13,5,5
1397,Fundamentals of Computers (REPLACE),Raja Raman,,,,,,1397,CS/E/99-14,5,14
1398,Mastering Page Maker 4 on IBM PC,Altman & Altman,120,,,BPB,,842149,CS/E/99-1,5,6
1399,Pascal Programming,Das P.P,90,,,Jaico,,842150,CS/E/99-1,5,7
1400,DOS 5: A Developer's Guide,Williams,180,,,BPB,,842151,CS/E/99-1,5,8
1401,Mastering DOS 6,Robbins,195,,,BPB,,842152,CS/E/99-1,5,9
1402,Operation System,Ritchie,75,,,BPB,,849582,CS/E/99-1,5,10
1403,Relational Database Theo. & Practice,Val Occardi,75,,,BPB,,849583,CS/E/99-1,5,11
1404,Convert to C and C++,Holems B.J,90,,,BPB,,849584,CS/E/99-1,5,12
1405,Fun withFractals(Disk),Robbins,375,,,Sybex,,859585,CS/E/99-1,5,13
1406,Mastering Corel Draw 3,Rimmer S.,525,,,Tech.,,842295,CS/E/99-1,5,15
1407,Mastreing Page Maker 5 for Windows,Altman & Altman,270,,,BPB,,842296,CS/E/99-1,5,16
1408,Graphics Prog. With Turbo Pascal,Tanik,50,,,Learuirs Press,,842297,CS/E/99-1,5,17
1409, Corel Draw 3.0,Vijay Mukhi,180,,,BPB,,842298,CS/E/99-1,5,18
1410,Learn Coral Draw in a Day,Paulson,45,,,BPB,,842299,CS/E/99-1,5,19
1411, Corel Draw 3 Instant References,Padwick,90,,,Sybex,,842300,CS/E/99-1,5,20
1412,Computer Viruses,Kapur,75,,,BPB,,850087,CS/E/99-1,5,21
1414,10 Minutes Guide to Foxbase + 2.10,Mehta,70,,,Galgotia,,850089,CS/E/99-1,5,22
1415,Super Computers,Raja Raman V.,50,,,Wiely,,850090,CS/E/99-1,5,23
1416,An Inte. Approach to Software Engg.,Jalote,130,,,Narosa ,,850091,CS/E/99-1,5,24
1417,Systems Programming & Op. System,Dhamdhere,120,,,TMS,,850092,CS/E/99-1,5,25
1418,Mastering Word 6 for Windows,Mansfield R.,350,,,BPB,,850093,CS/E/99-1,5,26
1419,Advanced Assembly Language,Holzner,135,,,PHI,,850094,CS/E/99-1,5,27
1420,2000 Solved Problems in Electronics.,Calhey,263.94,,,Mc Graw,,850095,CS/E/99-1,5,28
1775,dBase III Plus Made Simple,Taxali,120,,,Mc Graw,,812807,CS/E/99-1,1,3
1776,dBase III Plus Made Simple,Taxali,120,,,Mc Graw,,812806,CS/E/99-1,1,5
1777,dBase III Plus Made Simple,Taxali,120,,,Mc Graw,,812805,CS/E/99-1,1,6
651,Fuzzy Math Appr. to Pattern Recogni.,Pal S.K & Majumdar,125,,,,,701772,CS/E/99-2,1,1
652,Design of Microprocessor Based Sys.,Bansal,40,,,Wiley,,701773,CS/E/99-2,1,2
653,Prog. & Computing with Fortran IV,Grover,14.5,,,Allied,,701774,CS/E/99-2,1,3
654,Analog Computation & Simulation,Raja Raman,27,,,P.H.I,,701775,CS/E/99-2,1,4
656,Computer Programming in Pascal,Raja Raman,35,,,P.H.I,,701777,CS/E/99-2,1,5
657,Computer Oriented Num. Method 2 ed,Raja Raman,25,,,P.H.I,,701778,CS/E/99-2,1,6
658,Modern Control System Theory,Gopal,48,,,Wiley,,701779,CS/E/99-2,1,7
659,Stru. Prog. & Prob. Solv. With Pascal,Kieburtz,192.85,,,P.H.I,,701780,CS/E/99-2,1,8
660,Computer in the Life Science,Lewis,181.09,,,CH,,701781,CS/E/99-2,1,10
661,Deve. Comp. Sol. For your Busi. Prob.,Peterson H.N,283.15,,,P/H,,701782,CS/E/99-2,1,9
662,Trans. & Display of Prac. Information,Peurson D.E,257.35,,,Wiley,,701783,CS/E/99-2,1,11
663,Research Design in General Semantics,Johnson,867.52,,,G & B,,701784,CS/E/99-2,1,12
664,Computer Architecture,Foster,257.35,,,V H R,,701785,CS/E/99-2,1,13
665,Descision Table Languages & Sys.,Metzner & Barnes,457.5,,,AP,,701786,CS/E/99-2,1,14
666,Microcomp. Software Buyer's Guide,Webster & Chapion,257.35,,,Mc Graw,,701787,CS/E/99-2,1,15
667,Microcomp. Buyer's Guide,Webster ,257.35,,,Mc Graw,,701788,CS/E/99-2,1,16
668,Programming in Fortan IV,Sharma,37,,,EWP,,701789,CS/E/99-2,1,17
669,8080 Machine Lang. Prog. For Beginners,Santore,,,,DP,,701790,CS/E/99-2,1,18
670,Elements of Fortran IV,Benzer,,,,GPC,,701791,CS/E/99-2,1,19
671,Problem Solving Using P/LC,"Richardson, Birkm",,,,Wiley,,701792,CS/E/99-2,1,20
